edge_id,head_id,relation_type,tail_id,confidence,evidence_ids,properties_json,graph_scope,active
edge_5a84cede27e28f29d8ee,kg_datasetrecord_dr_7914c669f8b7f6d9704d,has_repeat_unit,kg_repeatunit_ru_ddca8226b0edafb4087b,1.0,[],{},strict,true
edge_5a86998bdfda68a0065b,kg_repeatunit_ru_db7d4de9ac878b17c52c,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a8e26bedf85560926af,kg_datasetrecord_dr_ecead1f5abfaf62d84c0,has_repeat_unit,kg_repeatunit_ru_b52ee7c0a95c21156b95,1.0,[],{},strict,true
edge_5a943398629ad0cab6fb,kg_datasetrecord_dr_02ba69b8fca3db7180a4,has_repeat_unit,kg_repeatunit_ru_5144be97bb100f100604,1.0,[],{},strict,true
edge_5a9e13374d731f050332,kg_repeatunit_ru_f68dcda96ae87ff62344,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5aa0c659ec0108d7702c,kg_datasetrecord_dr_52b1d911ee77879f1d6a,has_repeat_unit,kg_repeatunit_ru_ac8a278020146e859b25,1.0,[],{},strict,true
edge_5aa49bbf12003fd846cc,kg_datasetrecord_dr_3874276013983c2b987f,has_repeat_unit,kg_repeatunit_ru_c5f835ec5a5287530b31,1.0,[],{},strict,true
edge_5aa8a6b8927beaa61bdf,kg_datasetrecord_dr_b5b4a3f8d690139231b1,has_repeat_unit,kg_repeatunit_ru_a14da4c26d452fb12f51,1.0,[],{},strict,true
edge_5aa92d45f21f9ed14fb3,kg_repeatunit_ru_6aebdca43934571f3934,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5aa985d462ebbe5803cd,kg_datasetrecord_dr_5ab97c50b0e8c7ec6699,has_repeat_unit,kg_repeatunit_ru_ed83f8db3696999edf7b,1.0,[],{},strict,true
edge_5aaa1442ec11142573d3,kg_repeatunit_ru_b8e799235b79b53d64bc,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
